"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,      -2.088151235,      0.4162020295,      -13.58820833,       3.707767249,       -3.41868899,       4.883092925,      -4.475049448
           1,      -2.095074782,     0.08138453122,      0.1104343341,       3.293727714,      -3.191737708,       5.201228918,      -5.111210785
           2,      -2.162524365,    -0.08171169269,     0.03132065641,       3.142073211,      -2.933389637,       6.606242432,      -4.695969032
           3,      -2.646228323,    -0.05781257746,     -0.1773843762,       2.690472644,      -2.700132835,       6.990011697,      -5.074784538
           4,      -2.905671838,     -0.3243886848,      -0.675835626,       2.521574411,      -2.666854333,       6.973586795,      -5.347128507
           5,      -3.274851838,     -0.7307633312,     -0.8420926105,       2.259642054,      -2.733231685,       6.402133377,      -5.258851054
           6,      -3.493226805,     -0.8672452628,      -1.120882528,       2.065740531,      -2.594784646,       5.870438375,      -5.417460534
           7,      -3.563659431,     -0.9563136092,      -1.201048946,       2.004015121,      -2.458638261,        5.40290202,      -5.325695148
           8,      -3.661817312,      -1.075781402,      -1.346099007,       1.893026935,      -2.328706755,       5.155442401,      -5.372827854
           9,      -3.698690324,      -1.127397378,      -1.343401247,       1.854601159,      -2.201649003,       5.164830017,      -5.285150051
          10,      -3.754911697,      -1.228471626,      -1.488425082,       1.762165774,      -2.094813091,       5.065414085,      -5.296501969
          11,      -3.773926232,      -1.248272859,      -1.423060559,       1.753472427,      -1.986471626,       5.213259362,      -5.239969704
          12,      -3.831154645,      -1.350225108,      -1.606929888,       1.658679002,      -1.900564711,       5.185693942,      -5.245316046
          13,      -3.839520979,      -1.342807889,       -1.48372515,       1.672238343,      -1.805544185,       4.960993288,      -5.094335425
          14,      -3.857045012,      -1.404361921,      -1.653379506,       1.627401843,       -1.73804311,       5.129184417,      -5.033045467
          15,      -3.870563099,      -1.389307713,      -1.530330849,        1.64947261,      -1.632387241,       4.980206923,      -4.904913111
          16,      -3.916961006,      -1.524175081,      -1.659108331,       1.576440914,      -1.572862841,       5.105534946,      -4.868377758
