"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,    "rms[k][0]"   ,    "rms[w][0]"   ,    "rms[T][1]"   
           0,       -2.04781731,      0.4805236268,      -13.57461497,       3.835548356,      -3.275351019,       5.140738663,      -4.432663132
           1,      -2.007745156,       0.199312117,      0.2692515425,       3.457193296,      -3.068612085,       5.596248321,      -5.095513848
           2,      -2.057703655,      0.0392814339,      0.1455473435,       3.296553554,      -2.872604908,       6.634847555,       -4.61963062
           3,      -2.587912589,    -0.05380720579,    -0.05245106232,       2.828464173,      -2.657227052,        7.09486131,      -5.257892052
           4,      -2.811945991,     -0.1539857964,     -0.6098415145,       2.625183816,       -2.61603793,       6.837785533,      -5.340544737
           5,      -3.184241706,     -0.6061565253,     -0.7491965592,       2.349668526,        -2.7292638,       6.328028744,       -5.72706774
           6,      -2.701779807,     -0.7172494486,     -0.6614769329,       2.390402354,      -2.618201911,       5.759724819,        -5.5302009
           7,      -3.045478172,     -0.6178509578,     -0.9408488814,       2.489641037,      -2.471196919,       5.242202354,      -5.806465415
           8,      -2.963034604,     -0.5522904116,     -0.7888802664,       2.562257063,      -2.236402036,       5.513092696,      -5.595085348
           9,      -2.799738717,      -0.350352102,     -0.8323311034,       2.772339676,      -2.055787526,       5.627360322,      -5.611754189
          10,      -3.022572838,     -0.6346267036,     -0.7670336814,       2.515592071,      -1.989695834,       5.544049174,      -5.852874717
          11,       -3.27537931,      -1.062371992,     -0.9841125605,       2.088059221,      -1.830265833,       5.487195751,      -5.957183375
          12,      -3.612445373,       -1.29421909,      -1.284028729,       1.792805199,      -1.693570521,       4.900987745,      -6.003635507
          13,      -3.668057072,      -1.392259992,      -1.450540541,       1.691454893,      -1.585114425,       4.811336529,      -5.789425531
          14,      -3.817369286,      -1.406816769,      -1.470369414,       1.652128153,      -1.476968677,        4.45912626,       -5.86725331
          15,      -3.915891101,      -1.459321955,      -1.654813828,       1.591081854,      -1.359392103,       4.349592622,       -5.64316533
          16,      -3.950105894,      -1.508747989,      -1.646908035,       1.539486385,      -1.233522065,       4.720217497,      -5.711501908
          17,      -3.962275799,      -1.515598805,      -1.735855555,       1.538797735,      -1.120398876,       4.740816523,      -5.609974739
          18,      -3.990168317,      -1.570485095,       -1.73294744,       1.478742989,     -0.9964452802,       4.944778828,      -5.689312147
          19,      -4.003929847,      -1.580099648,       -1.77882545,       1.477116703,     -0.8951200015,       4.874803186,      -5.623939272
          20,      -4.028204721,      -1.635366731,      -1.782410092,       1.414666177,     -0.7826369666,       5.026393347,      -5.735349989
          21,      -4.031990182,      -1.642234702,      -1.817194153,         1.4222219,     -0.7032789752,       4.883390277,      -5.665572356
          22,      -4.057328412,      -1.698122395,      -1.814420933,       1.358110513,     -0.6111168128,       5.024420846,      -5.815125352
          23,      -4.059076843,      -1.708666878,      -1.855824677,       1.363850968,     -0.5637118585,       4.808839931,      -5.710986263
